X1,X2
Basic Info,Basic Info
Brand,Jeep
Model,Wrangler Unlimited Willys
Made in,USA
Status,Available
Body and Dimension,Body and Dimension
Body Style,Convertible
Length,188.4 in
Width,73.8 in
Height,74.5 in
Wheelbase,118.4 in
Curb Weight,4167 lbs
Colors,"Black Clearcoat, Firecracker Red Clearcoat, Granite Crystal Metallic Clearcoat, High-Velocity Clearcoat, Hydro Blue Pearlcoat, Limited Edition Gobi Clearcoat, Limited Edition Tuscadero Pearlcoat, Sarge Green Clearcoat, Silver Zenith Clearcoat, Snazzberry Pearlcoat, Sting-Gray Clearcoat."
Seating Capacity,5 seater
No. of Doors,4 door
Engine and Transmission,Engine and Transmission
Engine,6.4 V8 Gas
Horsepower,470 hp @ 6000 rpm
Torque,470 lb-ft @ 4300 rpm
Transmission,6-Speed Manual
Drivetrain,Four-Wheel Drive
Mileage In City,13 MPG
Mileage In Highway,17 MPG
Max. Speed,112 mph
Steering,
Steering Type,Re-Circulating Ball
Turning Diameter,39.4 ft
Tires,
Front Tire,LT255/75SR17
Rear Tire,LT255/75SR17
Wheels,
Wheels Type,17 x 7.5
Front Wheel Size,17 x 7.5
Rear Wheel Size,
Brake Systems,
No data available in table,
Suspensions,
No data available in table,
Weight and Towing,
No data available in table,
Connectivity Features,"Bluetooth Connections, HD radio, Satellite Radio, WiFi Hotspot, Smart Device Integration, Auxiliary Audio Input, Mp3 Player."
Safety Features,"Back-Up Camera, Cross-Traffic Alert, Rear Parking Aid, Blind Spot Monitor, Lane Departure Warning, Lane Keeping Assist, ABS, Night Vision, Tire Pressure Monitor, Brake Assist, Stability Control, Traction Control."
Other Features,"Steering Wheel Audio Controls, Power Mirror, A/C, Climate Control, Cooled Front Seat, Cruise Control, Hands-Free Liftgate, Keyless Entry, Remote Trunk Release, Keyless Start, Telematics."
Added by,Noman Arshad
