date, GDP Per Capita (USD) - Isarael, Annual Growth Rate (%) - Isarael
31/12/95,18143.4991,879.46
31/12/96,19357.1093,6.69
31/12/97,19663.0384,1.58
31/12/98,19427.078,-1.2
31/12/99,19129.1948,-1.53
31/12/00,21061.4823,10.1
31/12/01,20316.248,-3.54
31/12/02,18439.6462,-9.24
31/12/03,18991.3799,2.99
31/12/04,19910.6107,4.84
31/12/05,20585.1386,3.39
31/12/06,21853.1402,6.16
31/12/07,24952.5476,14.18
31/12/08,29650.7703,18.83
31/12/09,27780.4637,-6.31
31/12/10,30780.0238,10.8
31/12/11,33775.512,9.73
31/12/12,32667.6069,-3.28
31/12/13,36499.4561,11.73
31/12/14,37847.6499,3.69
31/12/15,35808.4364,-5.39
31/12/16,37330.2618,4.25
31/12/17,40774.1296,9.23
31/12/18,42063.4531,3.16
31/12/19,43951.2477,4.49
31/12/20,44177.5712,0.51
31/12/21,51430.0797,16.42
