X1,X2
Basic Info,
Brand,Mini
Model,Cooper Hardtop 2-Door
Status,Available
Made in,United Kingdom
Body and Dimension,
Body Style,SUV
Length,169.5 in
Width,68 in
Height,55.7 in
Wheelbase,98.2
Ground Clearance,-
Curb Weight,TBC
Colors,"British Racing,  Island Blue Metallic, MINI Yours Enigmatic, Moonwalk Grey Metallic, White Silver Metallic."
Seating Capacity,4 seater
No. of Doors,2 doors
Engine and Transmission,
Engine,1.5 L Turbo Inline-3 Gas
Horsepower,134 hp @4500 rpm
Torque,162 lb-ft @1480 rpm
Transmission,7-Speed Automatic
Drivetrain,Front-Wheel Drive
Mileage In City,27 MPG
Mileage In Highway,37 MPG
Max. Speed,130 MPH
Steering,
Steering Type,Rack-Pinion
Turning Diameter,37.4 ft
Tires,
Front Tire,H
Rear Tire,H
Wheels,
Wheels Type,Aluminum Wheels
Front Wheel Size,15 in x 5.5 in
Rear Wheel Size,15 in x 5.5 in
Brake Systems,
No data available in table,
Suspensions,
No data available in table,
Weight and Towing,
No data available in table,
Connectivity Features,"HD Radio, Premium Sound System, Satellite Radio, Bluetooth Connection, Smart Device Integration, Auxiliary Audio Input, MP3 Player."
Safety Features,"Back-Up Camera, Rear Parking Aid, ABS, Tire Pressure Monitor, Brake Assist, Stability Control, Traction Control."
Other Features,"Navigation System, Steering Wheel Audio Controls, Power Mirror, A/C, Climate Control, Cruise Control, Hands-Free Liftgate, Heated Front Seat(s), Heated Steering Wheel, Keyless Entry, Multi-Zone A/C, Power Driver Seat, Seat Memory, Keyless Start, Telematics."
